Yerps #
2
X    Y
-4.45     2.29    
 6.24    -3.58    
Preys #
11
X    Y    Tilt to the horizontal in degrees    Absolute value of velocity (should be less than 1)    xEnd    yEnd
-7.11     3.47     -25.43    0.37     1.62    -0.68
-3.24     0.76     -13.50    0.89     4.30    -1.05
 3.33     3.58    -174.00    0.52    -6.76     2.52
-6.43    -3.39      20.69    0.88     2.36    -0.07
 3.26     2.85    -125.37    0.24     1.89     0.92
 5.23    -1.78     140.91    0.27     0.75     1.86
-5.20    -1.89     -14.02    0.19     1.29    -3.51
-0.20    -0.23      84.16    0.50     0.07     2.41
-7.20     0.57     -21.62    0.41     0.52    -2.49
-1.96    -1.12     123.32    0.22    -5.28     3.93
 1.46     2.27      45.23    0.77     2.71     3.53
